
exang = no [3 1]
|	age <= 61.500000 [3 0]: negative
|	age > 61.500000 [0 1]: positive
exang = yes [0 6]: positive
<Predictions for the Test Set Instances>
1: Actual: negative Predicted: negative
2: Actual: negative Predicted: negative
3: Actual: negative Predicted: positive
4: Actual: negative Predicted: negative
5: Actual: negative Predicted: positive
6: Actual: negative Predicted: negative
7: Actual: negative Predicted: negative
8: Actual: negative Predicted: negative
9: Actual: negative Predicted: negative
10: Actual: negative Predicted: negative
11: Actual: negative Predicted: negative
12: Actual: negative Predicted: positive
13: Actual: negative Predicted: positive
14: Actual: negative Predicted: negative
15: Actual: negative Predicted: positive
16: Actual: negative Predicted: negative
17: Actual: negative Predicted: negative
18: Actual: negative Predicted: negative
19: Actual: negative Predicted: negative
20: Actual: negative Predicted: positive
21: Actual: negative Predicted: negative
22: Actual: negative Predicted: positive
23: Actual: negative Predicted: negative
24: Actual: negative Predicted: negative
25: Actual: negative Predicted: negative
26: Actual: negative Predicted: negative
27: Actual: negative Predicted: negative
28: Actual: negative Predicted: negative
29: Actual: negative Predicted: negative
30: Actual: negative Predicted: positive
31: Actual: negative Predicted: positive
32: Actual: negative Predicted: positive
33: Actual: negative Predicted: negative
34: Actual: negative Predicted: negative
35: Actual: negative Predicted: negative
36: Actual: negative Predicted: positive
37: Actual: negative Predicted: positive
38: Actual: negative Predicted: positive
39: Actual: negative Predicted: negative
40: Actual: negative Predicted: negative
41: Actual: negative Predicted: negative
42: Actual: negative Predicted: negative
43: Actual: negative Predicted: positive
44: Actual: negative Predicted: positive
45: Actual: negative Predicted: positive
46: Actual: negative Predicted: positive
47: Actual: negative Predicted: negative
48: Actual: negative Predicted: negative
49: Actual: negative Predicted: negative
50: Actual: negative Predicted: negative
51: Actual: negative Predicted: negative
52: Actual: negative Predicted: negative
53: Actual: negative Predicted: negative
54: Actual: negative Predicted: negative
55: Actual: negative Predicted: negative
56: Actual: negative Predicted: negative
57: Actual: negative Predicted: negative
58: Actual: positive Predicted: positive
59: Actual: positive Predicted: positive
60: Actual: positive Predicted: positive
61: Actual: positive Predicted: positive
62: Actual: positive Predicted: negative
63: Actual: positive Predicted: positive
64: Actual: positive Predicted: positive
65: Actual: positive Predicted: positive
66: Actual: positive Predicted: positive
67: Actual: positive Predicted: positive
68: Actual: positive Predicted: negative
69: Actual: positive Predicted: positive
70: Actual: positive Predicted: positive
71: Actual: positive Predicted: negative
72: Actual: positive Predicted: negative
73: Actual: positive Predicted: positive
74: Actual: positive Predicted: negative
75: Actual: positive Predicted: positive
76: Actual: positive Predicted: negative
77: Actual: positive Predicted: negative
78: Actual: positive Predicted: negative
79: Actual: positive Predicted: negative
80: Actual: positive Predicted: positive
81: Actual: positive Predicted: positive
82: Actual: positive Predicted: positive
83: Actual: positive Predicted: negative
84: Actual: positive Predicted: negative
85: Actual: positive Predicted: positive
86: Actual: positive Predicted: positive
87: Actual: positive Predicted: negative
88: Actual: positive Predicted: negative
89: Actual: positive Predicted: positive
90: Actual: positive Predicted: positive
91: Actual: positive Predicted: negative
92: Actual: positive Predicted: negative
93: Actual: positive Predicted: positive
94: Actual: positive Predicted: positive
95: Actual: positive Predicted: positive
96: Actual: positive Predicted: positive
97: Actual: positive Predicted: positive
98: Actual: positive Predicted: negative
99: Actual: positive Predicted: positive
100: Actual: positive Predicted: negative
101: Actual: positive Predicted: positive
102: Actual: positive Predicted: positive
103: Actual: positive Predicted: negative
Number of correctly classified: 68 Total number of test instances: 103
