
oldpeak <= 1.400000 [2 1]
|	age <= 49.000000 [0 1]: positive
|	age > 49.000000 [2 0]: negative
oldpeak > 1.400000 [0 7]: positive
<Predictions for the Test Set Instances>
1: Actual: negative Predicted: negative
2: Actual: negative Predicted: negative
3: Actual: negative Predicted: negative
4: Actual: negative Predicted: negative
5: Actual: negative Predicted: negative
6: Actual: negative Predicted: positive
7: Actual: negative Predicted: negative
8: Actual: negative Predicted: positive
9: Actual: negative Predicted: positive
10: Actual: negative Predicted: positive
11: Actual: negative Predicted: positive
12: Actual: negative Predicted: positive
13: Actual: negative Predicted: positive
14: Actual: negative Predicted: negative
15: Actual: negative Predicted: positive
16: Actual: negative Predicted: negative
17: Actual: negative Predicted: positive
18: Actual: negative Predicted: positive
19: Actual: negative Predicted: positive
20: Actual: negative Predicted: negative
21: Actual: negative Predicted: negative
22: Actual: negative Predicted: negative
23: Actual: negative Predicted: negative
24: Actual: negative Predicted: positive
25: Actual: negative Predicted: positive
26: Actual: negative Predicted: positive
27: Actual: negative Predicted: positive
28: Actual: negative Predicted: positive
29: Actual: negative Predicted: negative
30: Actual: negative Predicted: negative
31: Actual: negative Predicted: positive
32: Actual: negative Predicted: negative
33: Actual: negative Predicted: negative
34: Actual: negative Predicted: positive
35: Actual: negative Predicted: positive
36: Actual: negative Predicted: negative
37: Actual: negative Predicted: negative
38: Actual: negative Predicted: negative
39: Actual: negative Predicted: positive
40: Actual: negative Predicted: negative
41: Actual: negative Predicted: positive
42: Actual: negative Predicted: positive
43: Actual: negative Predicted: positive
44: Actual: negative Predicted: positive
45: Actual: negative Predicted: negative
46: Actual: negative Predicted: negative
47: Actual: negative Predicted: positive
48: Actual: negative Predicted: negative
49: Actual: negative Predicted: positive
50: Actual: negative Predicted: positive
51: Actual: negative Predicted: negative
52: Actual: negative Predicted: negative
53: Actual: negative Predicted: negative
54: Actual: negative Predicted: negative
55: Actual: negative Predicted: positive
56: Actual: negative Predicted: positive
57: Actual: negative Predicted: positive
58: Actual: positive Predicted: negative
59: Actual: positive Predicted: negative
60: Actual: positive Predicted: positive
61: Actual: positive Predicted: negative
62: Actual: positive Predicted: negative
63: Actual: positive Predicted: positive
64: Actual: positive Predicted: positive
65: Actual: positive Predicted: negative
66: Actual: positive Predicted: negative
67: Actual: positive Predicted: positive
68: Actual: positive Predicted: positive
69: Actual: positive Predicted: positive
70: Actual: positive Predicted: positive
71: Actual: positive Predicted: positive
72: Actual: positive Predicted: positive
73: Actual: positive Predicted: negative
74: Actual: positive Predicted: negative
75: Actual: positive Predicted: positive
76: Actual: positive Predicted: negative
77: Actual: positive Predicted: positive
78: Actual: positive Predicted: negative
79: Actual: positive Predicted: negative
80: Actual: positive Predicted: positive
81: Actual: positive Predicted: positive
82: Actual: positive Predicted: negative
83: Actual: positive Predicted: positive
84: Actual: positive Predicted: positive
85: Actual: positive Predicted: positive
86: Actual: positive Predicted: positive
87: Actual: positive Predicted: negative
88: Actual: positive Predicted: negative
89: Actual: positive Predicted: positive
90: Actual: positive Predicted: positive
91: Actual: positive Predicted: negative
92: Actual: positive Predicted: positive
93: Actual: positive Predicted: positive
94: Actual: positive Predicted: negative
95: Actual: positive Predicted: positive
96: Actual: positive Predicted: positive
97: Actual: positive Predicted: negative
98: Actual: positive Predicted: negative
99: Actual: positive Predicted: negative
100: Actual: positive Predicted: positive
101: Actual: positive Predicted: positive
102: Actual: positive Predicted: negative
103: Actual: positive Predicted: negative
Number of correctly classified: 52 Total number of test instances: 103
